Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2012,Bronson Arroyo,Reds,12,10,3.74,32,1,1,202,835,209,86,84,26,35,1,5,3,129,0
2015,Jason Hammel,Cubs,10,7,3.74,31,0,0,170.2,710,158,79,71,23,40,4,6,10,172,0
2010,Clayton Richard,Padres,14,9,3.75,33,1,1,201.2,861,206,89,84,16,78,6,4,4,153,0
2014,Shelby Miller,Cardinals,10,9,3.76,31,1,1,182,759,158,78,76,22,72,4,2,4,127,0
2008,Matt Cain,Giants,8,14,3.76,34,1,1,217.2,933,206,95,91,19,91,9,7,7,186,0
2012,Lucas Harrell,Astros,11,11,3.76,32,1,1,193.2,827,185,90,81,13,78,5,1,10,140,0
2007,Ian Snell,Pirates,9,12,3.76,32,1,0,208,882,209,94,87,22,68,4,8,12,177,0
2009,Carlos Zambrano,Cubs,9,7,3.77,28,1,1,169.1,733,155,78,71,10,78,6,9,7,152,0
2011,Bud Norris,Astros,6,11,3.77,31,0,0,186,795,177,93,78,24,70,7,5,3,176,0
2008,Kyle Lohse,Cardinals,15,6,3.78,33,0,0,200,839,211,88,84,18,49,3,3,5,119,0
2012,Trevor Cahill,Diamondbacks,13,12,3.78,32,2,1,200,839,184,93,84,16,74,0,11,10,156,0
2016,Dan Straily,Reds,14,8,3.79,31,0,0,183,758,151,77,77,30,69,4,9,3,154,0
2013,Bronson Arroyo,Reds,14,12,3.79,32,2,1,202,823,199,88,85,32,34,2,7,1,124,0
2015,Gio Gonzalez,Nationals,11,8,3.79,31,0,0,175.2,758,181,79,74,8,69,3,4,4,169,0
2012,Wandy Rodriguez,- - -,11,13,3.8,33,0,0,203.2,867,204,99,86,21,55,4,3,5,136,0
2010,Ian Kennedy,Diamondbacks,9,10,3.8,32,0,0,194,810,163,87,82,26,70,2,10,16,168,0
2016,Jeff Samardzija,Giants,12,11,3.81,32,1,0,203.1,829,190,88,86,24,54,4,1,2,167,0
2012,Josh Johnson,Marlins,8,14,3.81,31,0,0,191.1,798,180,84,81,14,65,7,4,5,165,0
2014,Tom Koehler,Marlins,10,10,3.81,32,0,0,191.1,803,177,84,81,16,71,0,7,4,153,0
2012,Jeff Samardzija,Cubs,9,13,3.81,28,1,0,174.2,723,157,79,74,20,56,2,4,10,180,0
2007,Ted Lilly,Cubs,15,8,3.83,34,0,0,207,847,181,91,88,28,55,2,3,7,174,0
2011,Zack Greinke,Brewers,16,6,3.83,28,0,0,171.2,715,161,82,73,19,45,0,4,10,201,0
2011,Charlie Morton,Pirates,10,10,3.83,29,2,1,171.2,769,186,82,73,6,77,5,13,9,110,0
2016,Jason Hammel,Cubs,15,10,3.83,30,0,0,166.2,692,148,77,71,25,53,0,9,9,144,0
2009,Bronson Arroyo,Reds,15,13,3.84,33,3,2,220.1,923,214,101,94,31,65,6,9,1,127,0
2010,Yovani Gallardo,Brewers,14,7,3.84,31,2,2,185,803,178,89,79,12,75,5,3,7,200,0
2015,Alex Wood,- - -,12,12,3.84,32,0,0,189.2,801,198,86,81,15,59,4,4,6,139,0
2010,Ryan Dempster,Cubs,15,12,3.85,34,1,0,215.1,918,198,110,92,25,86,4,10,6,208,0
2011,Mike Leake,Reds,12,8,3.86,26,0,0,165.2,683,156,73,71,23,36,2,8,1,117,0
2010,Bronson Arroyo,Reds,17,10,3.88,33,2,0,215.2,880,188,95,93,29,59,5,6,1,121,0
2009,John Lannan,Nationals,9,13,3.88,33,2,1,206.1,875,210,100,89,22,68,5,6,3,89,0
2007,Tom Gorzelanny,Pirates,14,10,3.88,32,1,1,201.2,874,214,90,87,18,68,3,11,5,135,0
2017,Jhoulys Chacin,Padres,13,10,3.89,32,0,0,180.1,765,157,82,78,19,72,5,14,7,153,0
2007,Derek Lowe,Dodgers,12,14,3.9,32,3,0,198.1,828,194,100,86,20,59,2,1,3,146,0
2017,Zach Davies,Brewers,17,9,3.9,33,0,0,191.1,817,204,90,83,20,55,3,9,2,124,0
2008,John Lannan,Nationals,9,15,3.91,31,0,0,182,779,172,89,79,23,72,1,7,6,117,0
2009,Kevin Correia,Padres,12,11,3.91,33,1,1,198,830,194,92,86,17,64,6,4,5,142,0
2007,John Maine,Mets,15,10,3.91,32,1,1,191,810,168,90,83,23,75,3,5,2,180,0
2008,Carlos Zambrano,Cubs,14,6,3.91,30,1,1,188.2,796,172,85,82,18,72,1,6,4,130,0
2008,Randy Johnson,Diamondbacks,11,10,3.91,30,2,0,184,778,184,92,80,24,44,6,6,2,173,0
2015,James Shields,Padres,13,7,3.91,33,0,0,202.1,860,189,93,88,33,81,5,9,7,216,0
2009,Ross Ohlendorf,Pirates,11,10,3.92,29,0,0,176.2,725,165,80,77,25,53,1,7,2,109,0
2007,Rich Hill,Cubs,11,8,3.92,32,0,0,195,812,170,89,85,27,63,3,12,1,183,0
2013,Eric Stults,Padres,11,13,3.93,33,2,0,203.2,857,219,97,89,18,40,2,2,2,131,0
2012,Adam Wainwright,Cardinals,14,13,3.94,32,3,2,198.2,831,196,96,87,15,52,3,6,5,184,0
2014,Ervin Santana,Braves,14,10,3.95,31,0,0,196,817,193,90,86,16,63,4,4,9,179,0
2015,Kyle Hendricks,Cubs,8,7,3.95,32,1,1,180,739,166,82,79,17,43,1,8,3,167,0
2015,Chris Heston,Giants,12,11,3.95,31,2,1,177.2,746,169,82,78,16,64,3,13,5,141,0
2007,Carlos Zambrano,Cubs,18,13,3.95,34,1,0,216.1,925,187,100,95,23,101,4,14,3,177,0
2008,Aaron Cook,Rockies,16,9,3.96,32,2,1,211.1,886,236,102,93,13,48,2,4,6,96,0
2016,Zach Davies,Brewers,11,7,3.97,28,0,0,163.1,682,166,79,72,20,38,0,6,3,135,0
2012,Jake Westbrook,Cardinals,13,11,3.97,28,1,0,174.2,751,191,85,77,12,52,0,8,5,106,0
2011,Ted Lilly,Dodgers,12,14,3.97,33,0,0,192.2,800,172,88,85,28,51,8,9,2,158,0
2013,Lance Lynn,Cardinals,15,10,3.97,33,0,0,201.2,856,189,92,89,14,76,0,11,6,198,0
2009,Chad Billingsley,Dodgers,12,11,3.98,32,0,0,194.2,812,169,92,86,16,84,7,7,14,179,0
2016,Brandon Finnegan,Reds,10,11,3.98,31,1,0,172,734,150,86,76,29,84,2,4,6,145,0
2008,Ubaldo Jimenez,Rockies,12,12,3.99,34,1,0,198.2,868,182,97,88,11,103,4,10,16,172,0
2012,Clayton Richard,Padres,14,14,3.99,33,1,1,218.2,910,228,110,97,31,42,4,6,4,107,0
2014,Ryan Vogelsong,Giants,8,13,4,32,1,0,184.2,780,178,86,82,18,58,2,9,2,151,0
2010,Derek Lowe,Braves,16,12,4,33,0,0,193.2,824,204,88,86,18,61,10,4,4,136,0
2013,Matt Cain,Giants,8,10,4,30,0,0,184.1,760,158,85,82,23,55,3,5,1,158,0
2009,Jon Garland,- - -,11,13,4.01,33,1,0,204,882,225,106,91,23,61,7,6,6,109,0
2014,Dan Haren,Dodgers,13,11,4.02,32,0,0,186,776,183,101,83,27,36,7,3,8,145,0
2012,Ian Kennedy,Diamondbacks,15,12,4.02,33,1,0,208.1,899,216,101,93,28,55,4,14,5,187,0
2009,Barry Zito,Giants,10,13,4.03,33,1,0,192,818,179,89,86,21,81,8,8,2,154,0
2012,Edwin Jackson,Nationals,10,11,4.03,31,1,0,189.2,790,173,90,85,23,58,5,2,3,168,0
2015,Julio Teheran,Braves,11,8,4.04,33,0,0,200.2,843,189,99,90,27,73,3,9,2,171,0
2009,Jason Marquis,Rockies,15,13,4.04,33,2,1,216,921,218,104,97,15,80,6,4,6,115,0
2015,Anthony DeSclafani,Reds,9,13,4.05,31,0,0,184.2,785,194,93,83,17,55,5,5,6,151,0
2012,James McDonald,Pirates,12,8,4.05,29,1,0,171,709,145,82,77,20,68,6,3,3,151,0
2009,Joe Blanton,Phillies,12,8,4.05,31,0,0,195.1,837,198,89,88,30,59,4,8,7,163,0
2009,Zach Duke,Pirates,11,16,4.06,32,3,1,213,891,231,101,96,23,49,0,3,2,106,0
2008,Ted Lilly,Cubs,17,9,4.09,34,0,0,204.2,861,187,96,93,32,64,2,7,4,184,0
2017,Patrick Corbin,Diamondbacks,14,13,4.09,32,0,0,187,815,206,97,85,26,59,8,3,10,176,0
2014,Bartolo Colon,Mets,15,13,4.09,31,0,0,202.1,846,218,97,92,22,30,3,5,2,151,0
2014,Jorge De La Rosa,Rockies,14,11,4.1,32,0,0,184.1,768,161,90,84,21,67,2,9,9,139,0
2015,Jimmy Nelson,Brewers,11,13,4.11,30,0,0,177.1,752,163,89,81,18,65,4,13,11,148,0
2012,Mike Minor,Braves,11,10,4.12,30,0,0,179.1,728,151,88,82,26,56,7,5,3,145,0
2009,Doug Davis,Diamondbacks,9,14,4.12,34,0,0,203.1,889,203,101,93,25,103,1,4,12,146,0
2009,Roy Oswalt,Astros,8,6,4.12,30,3,0,181.1,757,183,83,83,19,42,4,8,4,138,0
2007,Aaron Cook,Rockies,8,7,4.12,25,2,0,166,698,178,87,76,15,44,6,6,0,61,0
2009,Max Scherzer,Diamondbacks,9,11,4.12,30,0,0,170.1,741,166,94,78,20,63,1,10,5,174,0
2017,Michael Wacha,Cardinals,12,9,4.13,30,1,1,165.2,701,170,82,76,17,55,3,3,5,158,0
2010,Barry Zito,Giants,9,13,4.13,33,1,0,198.1,841,181,96,91,20,83,6,7,7,150,0
2007,Greg Maddux,Padres,14,11,4.14,34,1,0,198,830,221,92,91,14,25,3,6,5,104,0
2012,Edinson Volquez,Padres,11,11,4.14,32,1,1,182.2,802,160,88,84,14,105,6,9,9,174,0
2017,Ivan Nova,Pirates,11,14,4.14,31,2,1,187,785,203,96,86,29,36,2,7,8,131,0
2014,Roberto Hernandez,- - -,8,11,4.15,29,0,0,162.2,713,154,84,75,19,72,7,9,5,102,0
2012,Barry Zito,Giants,15,8,4.15,32,1,1,184.1,799,186,91,85,20,70,6,5,1,114,0
2015,Tom Koehler,Marlins,11,14,4.15,31,0,0,184.1,790,178,96,85,22,77,3,6,2,133,0
2008,Braden Looper,Cardinals,12,14,4.16,33,1,1,199,842,216,101,92,25,45,1,11,3,108,0
2015,Jon Niese,Mets,9,10,4.16,29,0,0,173,755,186,92,80,20,54,2,9,2,112,0
2010,Randy Wolf,Brewers,13,12,4.17,34,1,1,215.2,936,213,107,100,29,87,6,9,2,142,0
2013,Yovani Gallardo,Brewers,12,10,4.18,31,0,0,180.2,773,180,92,84,18,66,1,3,5,144,0
2008,Scott Olsen,Marlins,8,11,4.2,33,0,0,201.2,855,195,106,94,30,69,13,3,5,113,0
2010,Jon Niese,Mets,9,10,4.2,30,2,1,173.2,770,192,97,81,20,62,3,9,5,148,0
2015,Bartolo Colon,Mets,14,13,4.2,31,1,1,192.2,808,216,94,90,25,24,5,4,0,133,0
2011,James McDonald,Pirates,9,9,4.21,31,0,0,171,754,176,86,80,24,78,4,7,5,142,0
2011,Chad Billingsley,Dodgers,11,11,4.21,32,1,0,188,829,189,98,88,14,84,4,7,5,152,0
2009,Aaron Harang,Reds,6,14,4.21,26,2,1,162.1,703,186,82,76,24,43,6,4,6,142,0
2007,Jeff Francis,Rockies,17,9,4.22,34,1,1,215.1,922,234,103,101,25,63,7,7,1,165,0
2008,Greg Maddux,- - -,8,13,4.22,33,0,0,194,804,204,105,91,21,30,5,6,2,98,0
2008,Oliver Perez,Mets,10,7,4.22,34,0,0,194,847,167,100,91,24,105,4,11,9,180,0
2007,Bronson Arroyo,Reds,9,15,4.23,34,1,0,210.2,921,232,109,99,28,63,6,13,4,156,0
2007,Doug Davis,Diamondbacks,13,12,4.25,33,0,0,192.2,862,211,100,91,21,95,7,5,10,144,0
2017,Gerrit Cole,Pirates,12,12,4.26,33,0,0,203,849,199,98,96,31,55,1,4,7,196,0
2017,Dan Straily,Marlins,10,9,4.26,33,0,0,181.2,769,176,90,86,31,60,4,5,2,170,0
2010,Randy Wells,Cubs,8,14,4.26,32,0,0,194.1,843,209,97,92,19,63,5,6,2,144,0
2017,R.A. Dickey,Braves,10,10,4.26,31,0,0,190,815,193,99,90,26,67,3,10,13,136,0
2008,Dave Bush,Brewers,9,10,4.28,29,0,0,181,749,162,92,86,29,47,3,10,2,107,0
2015,Ian Kennedy,Padres,9,15,4.28,30,0,0,168.1,713,166,95,80,31,52,4,7,5,174,0
2014,Eric Stults,Padres,8,17,4.3,32,0,0,176,763,197,93,84,26,45,3,4,3,111,0
2008,Randy Wolf,- - -,12,12,4.3,33,1,1,190.1,823,191,100,91,21,71,4,12,3,162,0
2009,Jorge De La Rosa,Rockies,16,9,4.3,32,0,0,184,793,170,93,88,19,82,3,9,11,192,0
2009,Cole Hamels,Phillies,10,11,4.32,32,2,2,193.2,814,206,95,93,24,43,4,5,1,168,0
2016,Tom Koehler,Marlins,9,13,4.33,33,0,0,176.2,774,176,93,85,22,83,7,5,9,147,0
2017,Jon Lester,Cubs,13,8,4.33,32,1,0,180.2,763,179,101,87,26,60,3,4,3,180,0
2014,Wade Miley,Diamondbacks,8,12,4.34,33,0,0,201.1,866,207,103,97,23,75,3,4,9,183,0
2015,Andrew Cashner,Padres,6,16,4.34,31,0,0,184.2,804,200,111,89,19,66,2,6,3,165,0
2013,Jeff Samardzija,Cubs,8,13,4.34,33,2,1,213.2,914,210,109,103,25,78,3,8,11,214,0
2013,Wily Peralta,Brewers,11,15,4.37,32,2,1,183.1,802,187,107,89,19,73,3,7,12,129,0
2013,Tim Lincecum,Giants,10,14,4.37,32,1,1,197.2,841,184,102,96,21,76,8,7,11,193,0
2014,Nathan Eovaldi,Marlins,6,14,4.37,33,0,0,199.2,854,223,107,97,14,43,5,7,6,142,0
2017,German Marquez,Rockies,11,7,4.39,29,0,0,162,701,174,82,79,25,49,3,8,6,147,0
2009,Johnny Cueto,Reds,11,11,4.41,30,0,0,171.1,740,172,90,84,24,61,0,14,4,132,0
2017,Jeff Samardzija,Giants,9,15,4.42,32,1,1,207.2,847,204,107,102,30,32,1,6,2,205,0
2008,Jason Marquis,Cubs,11,9,4.43,28,0,0,166.2,733,170,85,82,15,69,6,7,8,91,0
2007,Jason Marquis,Cubs,12,9,4.43,33,1,1,191,838,186,107,94,22,75,6,12,3,107,0
2009,Paul Maholm,Pirates,8,9,4.44,31,0,0,194.2,836,221,102,96,14,60,4,6,11,119,0
2009,Jason Hammel,Rockies,10,8,4.45,30,1,0,168,735,194,92,83,16,40,6,9,4,126,0
2007,Tom Glavine,Mets,13,8,4.45,34,1,1,200.1,855,219,102,99,23,64,2,4,2,89,0
2011,Brett Myers,Astros,7,14,4.46,33,2,0,214,909,224,115,106,30,57,5,4,7,157,0
2011,Livan Hernandez,Nationals,8,13,4.47,29,1,1,175.1,751,199,98,87,16,46,6,5,3,99,0
2012,Ricky Nolasco,Marlins,12,13,4.48,31,3,2,191,832,214,100,95,18,47,9,8,8,125,0
2012,Tommy Hanson,Braves,13,10,4.48,31,0,0,174.2,761,183,95,87,27,71,5,5,6,161,0
2015,Jeff Locke,Pirates,8,11,4.49,30,0,0,168.1,736,179,95,84,15,60,4,7,5,129,0
2017,Julio Teheran,Braves,11,13,4.49,32,0,0,188.1,812,186,103,94,31,72,3,7,6,151,0
2011,Chris Capuano,Mets,11,12,4.52,31,1,1,185,795,195,98,93,27,52,5,5,4,168,0
2008,Brett Myers,Phillies,10,13,4.55,30,2,1,190,817,197,103,96,29,65,6,6,2,163,0
2010,Dave Bush,Brewers,8,13,4.55,31,0,0,174,780,198,108,88,28,65,6,4,1,106,0
2007,Barry Zito,Giants,11,13,4.55,33,0,0,195.2,847,182,105,99,24,83,4,4,5,131,0
2017,John Lackey,Cubs,12,11,4.56,30,0,0,169.2,726,163,92,86,36,53,3,12,11,148,0
2016,Gio Gonzalez,Nationals,11,11,4.57,32,0,0,177.1,765,179,98,90,19,59,2,9,7,171,0
2017,Tanner Roark,Nationals,13,11,4.57,30,0,0,175.1,750,171,100,89,22,63,5,6,3,162,0
2012,Mike Leake,Reds,8,9,4.58,30,2,0,179,757,201,97,91,26,41,3,3,3,116,0
2010,Chris Volstad,Marlins,12,9,4.58,30,2,1,175,758,187,94,89,17,60,5,8,8,102,0
2007,Wandy Rodriguez,Astros,9,13,4.58,31,1,1,182.2,782,179,102,93,22,62,2,5,3,158,0
2014,A.J. Burnett,Phillies,8,18,4.59,34,1,0,213.2,935,205,122,109,20,96,2,16,9,190,0
2016,Jon Gray,Rockies,10,10,4.61,29,1,1,168,712,153,92,86,18,59,2,12,7,185,0
2014,Kyle Kendrick,Phillies,10,13,4.61,32,0,0,199,865,214,108,102,25,57,4,11,5,121,0
2007,Jeff Suppan,Brewers,12,12,4.62,34,1,0,206.2,919,243,113,106,18,68,10,11,7,114,0
2016,Jimmy Nelson,Brewers,8,16,4.62,32,0,0,179.1,807,186,108,92,25,86,2,17,8,140,0
2016,Adam Wainwright,Cardinals,13,9,4.62,33,1,1,198.2,847,220,108,102,22,59,4,5,1,161,0
2007,Matt Chico,Nationals,7,9,4.63,31,0,0,167,747,183,96,86,26,74,3,5,7,94,0
2012,Bud Norris,Astros,7,13,4.65,29,0,0,168.1,733,165,90,87,23,66,2,8,8,165,0
2007,Kyle Lohse,- - -,9,12,4.66,32,2,1,189.1,816,205,107,98,22,56,3,12,3,118,0
2011,Jake Westbrook,Cardinals,12,9,4.66,33,0,0,183.1,809,208,103,95,16,73,8,2,3,104,0
2009,Derek Lowe,Braves,15,10,4.67,34,0,0,194.2,855,232,109,101,16,63,7,4,4,111,0
2017,Luis Perdomo,Padres,8,11,4.67,29,0,0,163.2,716,182,97,85,17,65,3,8,11,118,0
2011,Ricky Nolasco,Marlins,10,12,4.67,33,2,1,206,891,244,117,107,20,44,8,3,6,148,0
2015,Rubby de la Rosa,Diamondbacks,14,9,4.67,32,0,0,188.2,809,193,103,98,32,63,3,4,2,150,0
2012,Joe Blanton,- - -,10,12,4.68,30,2,1,190.1,801,205,105,99,29,34,5,2,5,166,0
2016,Mike Leake,Cardinals,9,12,4.69,30,0,0,176.2,757,203,101,92,20,30,1,7,7,125,0
2013,Dan Haren,Nationals,10,14,4.7,30,0,0,168.2,713,178,92,88,28,31,0,7,8,149,0
2013,Kyle Kendrick,Phillies,10,13,4.7,30,2,1,182,800,207,104,95,18,47,4,7,3,110,0
2011,Mike Pelfrey,Mets,7,13,4.7,33,2,0,193.1,857,218,110,101,21,65,7,7,2,105,0
2016,Jaime Garcia,Cardinals,10,13,4.73,30,1,1,165.2,719,177,92,87,25,55,3,7,8,140,0
2010,Joe Blanton,Phillies,9,6,4.74,28,0,0,174.2,758,202,102,92,26,42,5,3,2,134,0
2008,Bronson Arroyo,Reds,15,11,4.77,34,1,0,200,871,219,116,106,29,68,2,6,6,163,0
2017,Clayton Richard,Padres,8,15,4.79,32,2,1,197.1,858,240,114,105,24,59,6,8,7,151,0
2016,Chad Bettis,Rockies,14,8,4.79,32,1,1,186,814,204,107,99,22,59,5,7,4,138,0
2011,Ryan Dempster,Cubs,10,14,4.8,34,0,0,202.1,881,211,111,108,23,82,2,5,7,191,0
2008,Johnny Cueto,Reds,9,14,4.81,31,0,0,174,769,178,101,93,29,68,1,14,6,158,0
2010,Jason Hammel,Rockies,10,9,4.81,30,0,0,177.2,770,201,97,95,18,47,1,6,13,141,0
2010,Kyle Kendrick,Phillies,11,10,4.81,31,1,0,177.2,758,196,103,95,26,48,4,3,0,82,0
2008,Zach Duke,Pirates,5,14,4.82,31,1,1,185,829,230,111,99,19,47,1,7,2,87,0
2015,Aaron Harang,Phillies,6,15,4.86,29,0,0,172.1,748,189,100,93,26,51,3,6,4,108,0
2011,Chris Volstad,Marlins,5,13,4.89,29,0,0,165.2,719,187,96,90,23,49,6,1,2,117,0
2008,Aaron Harang,Reds,6,17,4.89,29,1,1,180.1,778,203,104,98,35,49,5,2,2,144,0
2007,Matt Morris,- - -,10,11,4.89,32,3,0,198.2,884,240,123,108,18,61,4,9,4,102,0
2007,Braden Looper,Cardinals,12,12,4.9,30,0,0,174.2,743,181,99,95,22,51,2,4,0,87,0
2016,Robbie Ray,Diamondbacks,8,15,4.9,32,0,0,174.1,776,185,105,95,24,71,4,6,8,218,0
2013,Ian Kennedy,- - -,7,10,4.91,31,0,0,181.1,794,180,108,99,27,73,1,12,10,163,0
2007,Livan Hernandez,Diamondbacks,11,11,4.93,33,1,0,204.1,913,247,116,112,34,79,1,6,3,90,0
2008,Tim Redding,Nationals,10,11,4.95,33,1,0,182,791,195,110,100,27,65,5,7,10,120,0
2008,Jeff Suppan,Brewers,10,10,4.96,31,0,0,177.2,780,207,110,98,30,67,7,4,3,90,0
2013,Edwin Jackson,Cubs,8,18,4.98,31,0,0,175.1,777,197,110,97,16,59,7,5,14,135,0
2010,Rodrigo Lopez,Diamondbacks,7,16,5,33,0,0,200,874,227,126,111,37,56,1,3,2,116,0
2007,Josh Fogg,Rockies,10,9,5,29,0,0,163.2,737,192,99,91,23,59,7,13,3,93,0
2007,Jamie Moyer,Phillies,14,12,5.01,33,1,0,199.1,867,222,118,111,30,66,3,5,2,133,0
2007,Paul Maholm,Pirates,10,15,5.02,29,2,1,177.2,765,204,110,99,22,49,3,6,5,105,0
2014,Travis Wood,Cubs,8,13,5.03,31,0,0,173.2,781,190,110,97,20,76,1,7,2,146,0
2009,Mike Pelfrey,Mets,10,12,5.03,31,0,0,184.1,824,213,112,103,18,66,8,7,1,107,0
2011,Derek Lowe,Braves,9,17,5.05,34,0,0,187,830,212,110,105,14,70,4,3,1,137,0
2009,Ricky Nolasco,Marlins,13,9,5.06,31,2,0,185,785,188,111,104,23,44,7,2,2,195,0
2007,Woody Williams,Astros,8,15,5.06,31,0,0,186.2,823,210,109,105,34,53,5,12,1,101,0
2011,Bronson Arroyo,Reds,9,12,5.07,32,1,1,199,855,227,119,112,46,45,5,6,0,108,0
2010,Paul Maholm,Pirates,9,15,5.1,32,1,1,185.1,840,228,119,105,15,62,2,9,2,102,0
2008,Barry Zito,Giants,10,17,5.15,32,0,0,180,818,186,115,103,16,102,10,4,3,120,0
2007,Dontrelle Willis,Marlins,10,15,5.17,35,0,0,205.1,942,241,131,118,29,87,4,14,9,146,0
2012,Tim Lincecum,Giants,10,15,5.18,33,0,0,186,825,183,111,107,23,90,3,4,17,190,0
2007,Dave Bush,Brewers,10,10,5.2,31,0,0,183.1,798,215,110,106,27,42,1,11,3,133,0
2009,Braden Looper,Brewers,14,7,5.22,34,0,0,194.2,866,226,123,113,39,64,6,5,5,100,0
2007,Matt Belisle,Reds,8,9,5.32,30,1,0,177.2,771,212,111,105,26,43,4,7,6,125,0
2008,Ian Snell,Pirates,7,12,5.42,31,0,0,164.1,766,201,107,99,18,89,0,2,8,135,0
2009,Livan Hernandez,- - -,9,12,5.44,31,2,0,183.2,806,220,112,111,19,67,5,1,1,102,0
2017,Matt Moore,Giants,6,15,5.59,31,0,0,172.1,783,199,116,107,27,67,3,7,10,147,0
2013,Edinson Volquez,- - -,9,12,5.74,32,0,0,169.1,773,192,114,108,19,77,2,3,16,142,0
2007,Scott Olsen,Marlins,10,15,5.81,33,0,0,176.2,826,226,134,114,29,85,4,1,8,133,0
2008,Brandon Backe,Astros,9,14,6.05,31,0,0,166.2,756,202,114,112,36,77,2,4,2,127,0
