Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2011,Ian Kennedy,Diamondbacks,21,4,2.88,33,1,1,222,900,186,73,71,19,55,0,9,11,198,0
2010,Ubaldo Jimenez,Rockies,19,8,2.88,33,4,2,221.2,894,164,73,71,10,92,7,9,16,214,0
2011,Matt Cain,Giants,12,11,2.88,33,1,0,221.2,907,177,82,71,9,63,5,9,4,179,0
2017,Robbie Ray,Diamondbacks,15,5,2.89,28,1,1,162,665,116,57,52,23,71,3,5,8,218,0
2012,Gio Gonzalez,Nationals,21,8,2.89,32,2,1,199.1,822,149,69,64,9,76,3,5,10,207,0
2014,Julio Teheran,Braves,14,13,2.89,33,4,2,221,884,188,82,71,22,51,4,4,1,186,0
2009,Matt Cain,Giants,14,8,2.89,33,4,0,217.2,886,184,73,70,22,73,6,3,9,171,0
2010,Clayton Kershaw,Dodgers,13,10,2.91,32,1,1,204.1,848,160,73,66,13,81,9,7,5,212,0
2010,Mat Latos,Padres,14,10,2.92,31,1,1,184.2,748,150,63,60,16,50,3,2,5,189,0
2015,Madison Bumgarner,Giants,18,9,2.93,32,4,2,218.1,869,181,73,71,21,39,2,7,1,234,0
2013,Adam Wainwright,Cardinals,19,9,2.94,34,5,2,241.2,956,223,83,79,15,35,2,6,5,219,0
2012,Jordan Zimmermann,Nationals,12,8,2.94,32,0,0,195.2,805,186,69,64,18,43,2,8,3,153,0
2017,Gio Gonzalez,Nationals,15,9,2.96,32,0,0,201,827,158,69,66,21,79,5,7,7,188,0
2016,Max Scherzer,Nationals,20,7,2.96,34,1,0,228.1,902,165,77,75,31,56,2,6,2,284,1
2008,Ryan Dempster,Cubs,17,6,2.96,33,1,0,206.2,856,174,75,68,14,76,1,7,5,187,0
2014,Madison Bumgarner,Giants,18,10,2.98,33,4,2,217.1,873,194,81,72,21,43,3,6,4,219,0
2010,Johan Santana,Mets,11,9,2.98,29,4,2,199,817,179,67,66,16,55,2,2,2,144,0
2013,Stephen Strasburg,Nationals,8,9,3,30,1,1,183,731,136,71,61,16,56,1,12,7,191,0
2013,Hyun-Jin Ryu,Dodgers,14,8,3,30,2,1,192,783,182,67,64,15,49,4,1,5,154,0
2007,Brandon Webb,Diamondbacks,18,10,3.01,34,4,3,236.1,975,209,91,79,12,72,6,5,3,194,0
2009,Wandy Rodriguez,Astros,14,12,3.02,33,1,1,205.2,849,192,77,69,21,63,5,5,2,193,0
2015,Shelby Miller,Braves,6,17,3.02,33,2,2,205.1,860,183,82,69,13,73,8,6,5,171,0
2015,Lance Lynn,Cardinals,12,11,3.03,31,0,0,175.1,751,172,66,59,13,68,5,5,2,167,0
2007,Brad Penny,Dodgers,16,4,3.03,33,0,0,208,865,199,75,70,9,73,2,5,6,135,0
2015,Carlos Martinez,Cardinals,14,6,3.04,29,0,0,174.2,730,163,63,59,13,58,4,8,8,181,0
2016,Carlos Martinez,Cardinals,16,9,3.04,31,0,0,195.1,809,169,68,66,15,70,1,11,8,174,0
2013,Andrew Cashner,Padres,10,9,3.04,26,1,1,165.2,668,144,64,56,11,41,3,4,5,119,0
2009,Randy Wells,Cubs,12,10,3.05,27,0,0,165.1,694,165,67,56,14,46,4,6,3,104,0
2012,Cole Hamels,Phillies,17,6,3.05,31,2,2,215.1,867,190,80,73,24,52,3,3,3,216,0
2010,Cole Hamels,Phillies,12,11,3.06,33,1,0,208.2,856,185,74,71,26,61,5,8,3,211,0
2013,Shelby Miller,Cardinals,15,9,3.06,31,1,1,173.1,722,152,65,59,20,57,0,5,2,169,0
2014,Edinson Volquez,Pirates,13,7,3.07,31,1,0,190.2,802,165,75,65,17,71,6,14,15,138,0
2011,Hiroki Kuroda,Dodgers,13,16,3.07,32,0,0,202,838,196,77,69,24,49,6,5,12,161,0
2010,Jonathan Sanchez,Giants,13,9,3.08,33,0,0,193,810,142,74,66,21,96,4,8,14,204,0
2008,Ben Sheets,Brewers,13,9,3.09,31,5,3,198.1,812,181,74,68,17,47,2,1,8,158,0
2008,Cole Hamels,Phillies,14,10,3.09,33,2,2,227.1,914,193,89,78,28,53,7,1,0,196,0
