Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2015,Jimmy Nelson,Brewers,11,13,30,30,177.1,7.51,3.3,0.91,0.285,0.704,0.506,0.118,4.11,4.1,4.06,2,0
2011,Ryan Vogelsong,Giants,13,7,28,28,175,6.99,3.14,0.77,0.281,0.801,0.454,0.085,2.78,3.72,3.87,2,0
2014,Tim Hudson,Giants,9,13,31,31,189.1,5.7,1.62,0.71,0.3,0.703,0.531,0.093,3.57,3.54,3.57,2,0
2011,Bud Norris,Astros,6,11,31,31,186,8.52,3.39,1.16,0.294,0.728,0.397,0.117,3.77,4.02,3.73,2,0
2017,Dan Straily,Marlins,10,9,33,33,181.2,8.42,2.97,1.54,0.288,0.764,0.342,0.13,4.26,4.58,4.7,2,0
2012,Aaron Harang,Dodgers,10,10,31,31,179.2,6.56,4.26,0.7,0.277,0.723,0.386,0.063,3.61,4.14,4.95,2,0
2008,Zach Duke,Pirates,5,14,31,31,185,4.23,2.29,0.92,0.315,0.672,0.482,0.093,4.82,4.4,4.52,2,0
2013,Mike Leake,Reds,14,7,31,31,192.1,5.71,2.25,0.98,0.285,0.777,0.487,0.115,3.37,4.04,3.91,2,0
2014,Yovani Gallardo,Brewers,8,11,32,32,192.1,6.83,2.53,0.98,0.294,0.747,0.508,0.121,3.51,3.94,3.64,2,0
2007,Jamie Moyer,Phillies,14,12,33,33,199.1,6.01,2.98,1.35,0.303,0.697,0.394,0.118,5.01,4.93,4.58,2,0
2008,Todd Wellemeyer,Cardinals,13,9,32,32,191.2,6.29,2.91,1.17,0.264,0.769,0.393,0.106,3.71,4.51,4.44,2,0
2017,Ivan Nova,Pirates,11,14,31,31,187,6.3,1.73,1.4,0.299,0.73,0.457,0.158,4.14,4.46,4.19,2,0
2011,Ted Lilly,Dodgers,12,14,33,33,192.2,7.38,2.38,1.31,0.26,0.747,0.336,0.106,3.97,4.21,4.03,2,0
2013,Kyle Kendrick,Phillies,10,13,30,30,182,5.44,2.32,0.89,0.306,0.666,0.494,0.095,4.7,4.01,4.15,2,0
2009,Bronson Arroyo,Reds,15,13,33,33,220.1,5.19,2.66,1.27,0.265,0.765,0.448,0.119,3.84,4.78,4.5,2,0
2014,Josh Collmenter,Diamondbacks,10,9,28,28,170.1,5.81,1.85,0.9,0.267,0.711,0.383,0.082,3.54,3.83,4.04,2,0
2013,Edwin Jackson,Cubs,8,18,31,31,175.1,6.93,3.03,0.82,0.322,0.633,0.513,0.099,4.98,3.79,3.86,2,0
2012,Paul Maholm,- - -,13,11,31,31,188,6.7,2.54,0.96,0.28,0.755,0.512,0.129,3.69,4.01,3.84,2,0
2011,Chris Capuano,Mets,11,12,31,31,185,8.17,2.53,1.31,0.309,0.719,0.426,0.12,4.52,4.03,3.66,1.9,0
2010,Ian Kennedy,Diamondbacks,9,10,32,32,194,7.79,3.25,1.21,0.256,0.755,0.371,0.108,3.8,4.33,4.1,1.9,0
2013,Dillon Gee,Mets,12,11,32,32,199,6.42,2.13,1.09,0.296,0.779,0.426,0.101,3.62,4,4.07,1.9,0
2014,Wily Peralta,Brewers,17,11,32,32,198.2,6.98,2.76,1.04,0.295,0.761,0.536,0.139,3.53,4.11,3.64,1.8,0
2011,Charlie Morton,Pirates,10,10,29,29,171.2,5.77,4.04,0.31,0.32,0.725,0.585,0.058,3.83,3.77,4.08,1.8,0
2010,Joe Blanton,Phillies,9,6,28,28,174.2,6.9,2.16,1.34,0.318,0.689,0.421,0.119,4.74,4.25,3.85,1.8,0
2011,Livan Hernandez,Nationals,8,13,29,29,175.1,5.08,2.36,0.82,0.313,0.668,0.424,0.076,4.47,3.96,4.28,1.8,0
2010,Barry Zito,Giants,9,13,33,33,198.1,6.81,3.77,0.91,0.277,0.72,0.361,0.075,4.13,4.24,4.56,1.8,0
2013,Wade Miley,Diamondbacks,10,10,33,33,202.2,6.53,2.93,0.93,0.296,0.758,0.52,0.125,3.55,3.98,3.77,1.8,0
2007,Paul Maholm,Pirates,10,15,29,29,177.2,5.32,2.48,1.11,0.312,0.653,0.533,0.127,5.02,4.6,4.21,1.8,0
2011,Wandy Rodriguez,Astros,11,11,30,30,191,7.82,3.25,1.18,0.289,0.792,0.452,0.13,3.49,4.15,3.72,1.8,0
2013,Tim Lincecum,Giants,10,14,32,32,197.2,8.79,3.46,0.96,0.3,0.694,0.453,0.121,4.37,3.74,3.56,1.8,0
2010,Jon Niese,Mets,9,10,30,30,173.2,7.67,3.21,1.04,0.324,0.706,0.477,0.118,4.2,4.1,3.8,1.7,0
2010,Bronson Arroyo,Reds,17,10,33,33,215.2,5.05,2.46,1.21,0.239,0.744,0.434,0.105,3.88,4.61,4.42,1.7,0
2008,Braden Looper,Cardinals,12,14,33,33,199,4.88,2.04,1.13,0.292,0.722,0.484,0.117,4.16,4.52,4.3,1.7,0
2008,Oliver Perez,Mets,10,7,34,34,194,8.35,4.87,1.11,0.271,0.734,0.32,0.098,4.22,4.68,4.74,1.7,0
2009,Mike Pelfrey,Mets,10,12,31,31,184.1,5.22,3.22,0.88,0.312,0.667,0.513,0.095,5.03,4.39,4.47,1.7,0
2011,Brett Myers,Astros,7,14,33,33,214,6.6,2.4,1.26,0.293,0.7,0.479,0.13,4.46,4.24,3.76,1.7,0
2015,Brett Anderson,Dodgers,10,9,31,31,180.1,5.79,2.3,0.9,0.31,0.738,0.663,0.17,3.69,3.94,3.51,1.6,0
2009,Livan Hernandez,- - -,9,12,31,31,183.2,5,3.28,0.93,0.326,0.673,0.406,0.084,5.44,4.44,4.72,1.6,0
2015,Mike Leake,- - -,11,10,30,30,192,5.58,2.3,1.03,0.26,0.748,0.518,0.138,3.7,4.2,3.93,1.6,0
2014,Tom Koehler,Marlins,10,10,32,32,191.1,7.2,3.34,0.75,0.29,0.735,0.431,0.074,3.81,3.84,4.15,1.6,0
2017,R.A. Dickey,Braves,10,10,31,31,190,6.44,3.17,1.23,0.29,0.732,0.469,0.132,4.26,4.72,4.79,1.6,0
2014,Wade Miley,Diamondbacks,8,12,33,33,201.1,8.18,3.35,1.03,0.317,0.721,0.511,0.139,4.34,3.98,3.5,1.6,0
2009,Johnny Cueto,Reds,11,11,30,30,171.1,6.93,3.2,1.26,0.291,0.736,0.416,0.112,4.41,4.69,4.51,1.6,0
2007,Barry Zito,Giants,11,13,33,33,195.2,6.03,3.82,1.1,0.261,0.697,0.392,0.096,4.55,4.83,4.83,1.6,0
2014,Jorge De La Rosa,Rockies,14,11,32,32,184.1,6.79,3.27,1.03,0.263,0.708,0.516,0.129,4.1,4.34,3.95,1.6,0
2014,A.J. Burnett,Phillies,8,18,34,34,213.2,8,4.04,0.84,0.302,0.675,0.509,0.113,4.59,4.14,3.95,1.6,0
2010,Paul Maholm,Pirates,9,15,32,32,185.1,4.95,3.01,0.73,0.327,0.648,0.509,0.077,5.1,4.18,4.41,1.5,0
2012,Mark Buehrle,Marlins,13,13,31,31,202.1,5.56,1.78,1.16,0.27,0.748,0.413,0.114,3.74,4.18,4.17,1.5,0
2008,Aaron Harang,Reds,6,17,29,29,180.1,7.19,2.45,1.75,0.307,0.732,0.34,0.139,4.89,4.91,4.22,1.5,0
2012,Edinson Volquez,Padres,11,11,32,32,182.2,8.57,5.17,0.69,0.292,0.731,0.506,0.099,4.14,4.06,4.2,1.5,0
2013,Matt Cain,Giants,8,10,30,30,184.1,7.71,2.69,1.12,0.26,0.716,0.377,0.108,4,3.93,3.88,1.5,0
2007,Tom Glavine,Mets,13,8,34,34,200.1,4,2.88,1.03,0.29,0.726,0.418,0.091,4.45,4.86,4.95,1.5,0
2008,Johnny Cueto,Reds,9,14,31,31,174,8.17,3.52,1.5,0.298,0.725,0.386,0.139,4.81,4.9,4.31,1.5,0
