Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2010,Tommy Hanson,Braves,4.1,10,3.33,202.2,2109,11,3.31,14,2.49,0
2008,Dan Haren,Diamondbacks,6.2,16,3.33,216,2207,8,3.01,19,1.67,0
2015,Jon Lester,Cubs,5,11,3.34,205,2029,12,2.92,16,2.06,0
2012,Wade Miley,Diamondbacks,4.3,15,3.34,186,1915,11,3.04,13,1.6,0
2016,John Lackey,Cubs,3.1,11,3.35,188.1,1872,8,3.81,23,2.53,0
2013,Kyle Lohse,Brewers,2.3,11,3.35,198.2,1996,10,4.08,26,1.63,0
2013,Gio Gonzalez,Nationals,3.2,11,3.36,195.2,2072,8,3.41,17,3.5,0
2012,Ryan Vogelsong,Giants,2.5,14,3.37,189.2,1935,9,3.7,17,2.94,0
2013,Mike Leake,Reds,2,14,3.37,192.1,1844,7,4.04,21,2.25,0
2012,Madison Bumgarner,Giants,3.1,16,3.37,208.1,2139,11,3.5,23,2.12,0
2015,Michael Wacha,Cardinals,2.3,17,3.37,181.1,1929,7,3.87,19,2.88,0
2015,Francisco Liriano,Pirates,3.7,12,3.38,186.2,1835,7,3.19,15,3.38,0
2007,Cole Hamels,Phillies,3.9,15,3.39,183.1,1911,5,3.83,25,2.11,0
2010,Hiroki Kuroda,Dodgers,4.3,11,3.39,196.1,1929,13,3.26,15,2.2,0
2011,Kyle Lohse,Cardinals,2.4,14,3.39,188.1,1848,8,3.67,16,2.01,0
2012,Jon Niese,Mets,2.7,13,3.4,190.1,2005,9,3.8,22,2.32,0
2014,Jon Niese,Mets,2.3,9,3.4,187.2,1823,11,3.67,17,2.16,0
2013,Patrick Corbin,Diamondbacks,3.5,14,3.41,208.1,2038,8,3.43,19,2.33,0
2017,Lance Lynn,Cardinals,1.4,11,3.43,186.1,1893,8,4.82,27,3.77,0
2010,Tim Lincecum,Giants,4.3,16,3.43,212.1,2210,10,3.15,18,3.22,0
2014,Alfredo Simon,Reds,1.3,15,3.44,196.1,1945,10,4.33,22,2.57,0
2011,Chris Carpenter,Cardinals,4.8,11,3.45,237.1,2348,9,3.06,16,2.09,0
2016,Bartolo Colon,Mets,2.7,15,3.45,190.1,1933,8,4,24,1.51,0
2010,Jon Garland,Padres,1.1,14,3.47,200,1994,12,4.41,20,3.92,0
2013,Jhoulys Chacin,Rockies,3.9,14,3.47,197.1,1899,10,3.47,11,2.78,0
2009,Ubaldo Jimenez,Rockies,5.3,15,3.47,218,2175,12,3.36,13,3.51,0
2011,Mat Latos,Padres,3.8,9,3.47,194.1,1968,14,3.16,16,2.87,0
2012,Mat Latos,Reds,3.1,14,3.48,209.1,2149,4,3.85,25,2.75,0
2016,Kenta Maeda,Dodgers,3.3,16,3.48,175.2,1884,11,3.58,20,2.56,0
2011,Daniel Hudson,Diamondbacks,4.6,16,3.49,222,2239,12,3.28,17,2.03,0
2011,Wandy Rodriguez,Astros,1.8,11,3.49,191,1971,11,4.15,25,3.25,0
2013,Homer Bailey,Reds,4.1,11,3.49,209,2190,12,3.31,20,2.33,0
2017,Jimmy Nelson,Brewers,4.8,12,3.49,175.1,1842,6,3.05,16,2.46,0
2009,Joel Pineiro,Cardinals,4.6,15,3.49,214,1967,12,3.27,11,1.14,0
2014,Yovani Gallardo,Brewers,2,8,3.51,192.1,1981,11,3.94,21,2.53,0
2012,A.J. Burnett,Pirates,3,16,3.51,202.1,1947,10,3.52,18,2.76,0
2011,Yovani Gallardo,Brewers,3.6,17,3.52,207.1,2180,10,3.59,27,2.56,0
2017,Jacob deGrom,Mets,4.3,15,3.53,201.1,2132,10,3.5,28,2.64,0
2014,Wily Peralta,Brewers,1.8,17,3.53,198.2,1990,11,4.11,23,2.76,0
2008,Roy Oswalt,Astros,3.7,17,3.54,208.2,2107,10,3.8,23,2.03,0
2014,Kyle Lohse,Brewers,2.3,13,3.54,198.1,1981,9,3.95,22,2.04,0
2014,Josh Collmenter,Diamondbacks,2,10,3.54,170.1,1682,9,3.83,17,1.85,0
2011,Shaun Marcum,Brewers,3.6,13,3.54,200.2,2029,7,3.73,22,2.56,0
2014,Zack Wheeler,Mets,2.6,11,3.54,185.1,2028,11,3.55,14,3.84,0
2013,Wade Miley,Diamondbacks,1.8,10,3.55,202.2,2030,10,3.98,21,2.93,0
2010,Anibal Sanchez,Marlins,3.9,13,3.55,195,2069,12,3.32,10,3.23,0
2007,Oliver Perez,Mets,2.7,15,3.56,177,1882,10,4.35,22,4.02,0
2011,Jaime Garcia,Cardinals,3.4,13,3.56,194.2,1921,7,3.23,15,2.31,0
2014,Tim Hudson,Giants,2,9,3.57,189.1,1836,13,3.54,15,1.62,0
2014,Aaron Harang,Braves,2.5,12,3.57,204.1,2178,12,3.57,15,3.13,0
2010,Chad Billingsley,Dodgers,4.2,12,3.57,191.2,1974,11,3.07,8,3.24,0
2010,Wandy Rodriguez,Astros,3.6,11,3.6,195,1992,12,3.5,16,3.14,0
2013,Cole Hamels,Phillies,4.5,8,3.6,220,2312,14,3.26,21,2.05,0
2015,Dan Haren,- - -,0.9,11,3.6,187.1,1868,9,4.61,31,1.83,0
2012,Aaron Harang,Dodgers,2,10,3.61,179.2,1884,10,4.14,14,4.26,0
2008,Ricky Nolasco,Marlins,3.9,15,3.61,206.2,2153,8,3.79,28,1.79,0
2013,Dillon Gee,Mets,1.9,12,3.62,199,1965,11,4,24,2.13,0
2011,Jhoulys Chacin,Rockies,2,11,3.62,194,1891,14,4.23,20,4.04,0
2012,Tim Hudson,Braves,2.1,16,3.62,179,1692,7,3.78,12,2.41,0
2010,Ted Lilly,- - -,2.5,10,3.62,193.2,1999,12,4.27,32,2.04,0
2014,Ian Kennedy,Padres,3.4,13,3.63,201,2198,13,3.21,16,3.13,0
2010,Johnny Cueto,Reds,2.6,12,3.64,185.2,1926,7,3.97,19,2.71,0
2011,Aaron Harang,Padres,1.2,14,3.64,170.2,1787,7,4.17,20,3.06,0
2017,Carlos Martinez,Cardinals,3.3,12,3.64,205,2048,11,3.91,27,3.12,0
2007,Matt Cain,Giants,4.1,7,3.65,200,2114,16,3.78,14,3.56,0
2009,Ryan Dempster,Cubs,3.6,11,3.65,200,1981,9,3.87,22,2.93,0
2016,Jerad Eickhoff,Phillies,2.8,11,3.65,197.1,1922,14,4.19,30,1.92,0
2010,Livan Hernandez,Nationals,2.9,10,3.66,211.2,2011,12,3.95,16,2.72,0
2015,Jordan Zimmermann,Nationals,3,13,3.66,201.2,2103,10,3.75,24,1.74,0
2012,Yovani Gallardo,Brewers,2.6,16,3.66,204,2082,9,3.94,26,3.57,0
2011,Anibal Sanchez,Marlins,3.5,8,3.67,196.1,2081,9,3.35,20,2.93,0
2012,Homer Bailey,Reds,2.7,13,3.68,208,2177,10,3.97,26,2.25,0
2008,Jair Jurrjens,Braves,3.8,13,3.68,188.1,1935,10,3.59,11,3.35,0
2010,Mike Pelfrey,Mets,2.6,15,3.68,203,2119,9,3.81,12,2.97,0
2012,Paul Maholm,- - -,2,13,3.69,188,1876,11,4.01,20,2.54,0
2011,Randy Wolf,Brewers,2.2,13,3.69,212.1,2156,10,4.29,23,2.8,0
2011,Javier Vazquez,Marlins,3.1,13,3.69,192.2,1972,11,3.57,21,2.34,0
2015,Brett Anderson,Dodgers,1.6,10,3.69,180.1,1751,9,3.94,18,2.3,0
2011,Joe Saunders,Diamondbacks,0.5,12,3.69,212,1983,13,4.78,29,2.84,0
2014,Mike Leake,Reds,2.3,11,3.7,214.1,2070,13,3.88,23,2.1,0
2007,Adam Wainwright,Cardinals,3.7,14,3.7,202,1973,12,3.9,13,3.12,0
2015,Mike Leake,- - -,1.6,11,3.7,192,1817,10,4.2,22,2.3,0
2011,John Lannan,Nationals,1.2,10,3.7,184.2,1849,13,4.28,15,3.7,0
2008,Paul Maholm,Pirates,2.6,9,3.71,206.1,1934,9,4.15,21,2.75,0
2008,Todd Wellemeyer,Cardinals,2,13,3.71,191.2,1967,9,4.51,25,2.91,0
2008,Jamie Moyer,Phillies,2.8,16,3.71,196.1,1950,7,4.32,20,2.84,0
2016,Jeremy Hellickson,Phillies,3.2,12,3.71,189,1864,10,3.98,24,2.14,0
2013,Ricky Nolasco,- - -,3.2,13,3.72,198.1,2013,11,3.36,17,2.09,0
2012,Chris Capuano,Dodgers,2.7,12,3.72,198.1,1951,12,3.95,25,2.45,0
2008,Mike Pelfrey,Mets,3.1,13,3.72,200.2,2022,11,3.96,12,2.87,0
2007,Aaron Harang,Reds,5.4,16,3.73,231.2,2409,6,3.71,28,2.02,0
2008,Hiroki Kuroda,Dodgers,3.6,9,3.73,183.1,1758,10,3.59,13,2.06,0
2011,Tim Stauffer,Padres,1.5,9,3.73,185.2,1874,12,4.03,20,2.57,0
2009,Yovani Gallardo,Brewers,2.8,13,3.73,185.2,1895,12,3.97,21,4.56,0
2012,Mark Buehrle,Marlins,1.5,13,3.74,202.1,1968,13,4.18,26,1.78,0
2012,Bronson Arroyo,Reds,2.6,12,3.74,202,1987,10,4.08,26,1.56,0
2015,Jason Hammel,Cubs,2.4,10,3.74,170.2,1800,7,3.68,23,2.11,0
2010,Clayton Richard,Padres,2.4,14,3.75,201.2,2015,9,3.81,16,3.48,0
2014,Shelby Miller,Cardinals,0.6,10,3.76,182,1810,9,4.53,22,3.56,0
2008,Matt Cain,Giants,3.7,8,3.76,217.2,2326,14,3.91,19,3.76,0
2012,Lucas Harrell,Astros,2.8,11,3.76,193.2,1990,11,3.75,13,3.62,0
2007,Ian Snell,Pirates,3.4,9,3.76,208,2026,12,4.01,22,2.94,0
2011,Bud Norris,Astros,2,6,3.77,186,1973,11,4.02,24,3.39,0
2008,Kyle Lohse,Cardinals,3.2,15,3.78,200,2002,6,3.89,18,2.21,0
2012,Trevor Cahill,Diamondbacks,2.6,13,3.78,200,1928,12,3.85,16,3.33,0
2016,Dan Straily,Reds,1.1,14,3.79,183,1866,8,4.87,30,3.39,0
2013,Bronson Arroyo,Reds,1.2,14,3.79,202,1932,12,4.49,32,1.51,0
2015,Gio Gonzalez,Nationals,3.7,11,3.79,175.2,1863,8,3.05,8,3.54,0
2012,Wandy Rodriguez,- - -,2.4,11,3.8,203.2,2085,13,3.95,21,2.43,0
2010,Ian Kennedy,Diamondbacks,1.9,9,3.8,194,1990,10,4.33,26,3.25,0
2016,Jeff Samardzija,Giants,2.6,12,3.81,203.1,2103,11,3.85,24,2.39,0
2012,Josh Johnson,Marlins,3.1,8,3.81,191.1,1937,14,3.4,14,3.06,0
2014,Tom Koehler,Marlins,1.6,10,3.81,191.1,1850,10,3.84,16,3.34,0
2012,Jeff Samardzija,Cubs,2.7,9,3.81,174.2,1790,13,3.55,20,2.89,0
2007,Ted Lilly,Cubs,3.8,15,3.83,207,2158,8,4.16,28,2.39,0
2011,Zack Greinke,Brewers,3.9,16,3.83,171.2,1812,6,2.98,19,2.36,0
2011,Charlie Morton,Pirates,1.8,10,3.83,171.2,1684,10,3.77,6,4.04,0
2009,Bronson Arroyo,Reds,2,15,3.84,220.1,2157,13,4.78,31,2.66,0
2010,Yovani Gallardo,Brewers,4.6,14,3.84,185,1949,7,3.02,12,3.65,0
2015,Alex Wood,- - -,2.6,12,3.84,189.2,1851,12,3.69,15,2.8,0
2010,Ryan Dempster,Cubs,2.6,15,3.85,215.1,2223,12,3.99,25,3.59,0
2010,Bronson Arroyo,Reds,1.7,17,3.88,215.2,2138,10,4.61,29,2.46,0
2009,John Lannan,Nationals,1.4,9,3.88,206.1,1984,13,4.7,22,2.97,0
2007,Tom Gorzelanny,Pirates,3.1,14,3.88,201.2,2064,10,4.24,18,3.03,0
2017,Jhoulys Chacin,Padres,2.4,13,3.89,180.1,1844,10,4.26,19,3.59,0
2007,Derek Lowe,Dodgers,3.1,12,3.9,198.1,1880,14,3.99,20,2.68,0
2017,Zach Davies,Brewers,2.7,17,3.9,191.1,1930,9,4.22,20,2.59,0
