Season,Name,Team,WAR,W,ERA,IP,Strikes,L,FIP,HR,BB/9,y
2017,R.A. Dickey,Braves,1.6,10,4.26,190,1930,10,4.72,26,3.17,0
2008,Dave Bush,Brewers,1.2,9,4.28,181,1699,10,4.98,29,2.34,0
2014,Eric Stults,Padres,0,8,4.3,176,1822,17,4.63,26,2.3,0
2008,Randy Wolf,- - -,2.6,12,4.3,190.1,2007,12,4.17,21,3.36,0
2009,Jorge De La Rosa,Rockies,3.4,16,4.3,184,1838,9,3.84,19,4.01,0
2009,Cole Hamels,Phillies,3.9,10,4.32,193.2,2082,11,3.72,24,2,0
2016,Tom Koehler,Marlins,1.1,9,4.33,176.2,1875,13,4.6,22,4.23,0
2017,Jon Lester,Cubs,2.7,13,4.33,180.2,1945,8,4.1,26,2.99,0
2014,Wade Miley,Diamondbacks,1.6,8,4.34,201.1,2032,12,3.98,23,3.35,0
2015,Andrew Cashner,Padres,2.2,6,4.34,184.2,2008,16,3.85,19,3.22,0
2013,Jeff Samardzija,Cubs,2.7,8,4.34,213.2,2177,13,3.77,25,3.29,0
2013,Wily Peralta,Brewers,1.4,11,4.37,183.1,1823,15,4.3,19,3.58,0
2013,Tim Lincecum,Giants,1.8,10,4.37,197.2,2023,14,3.74,21,3.46,0
2014,Nathan Eovaldi,Marlins,2.9,6,4.37,199.2,2114,14,3.37,14,1.94,0
2009,Johnny Cueto,Reds,1.6,11,4.41,171.1,1799,11,4.69,24,3.2,0
2017,Jeff Samardzija,Giants,3.8,9,4.42,207.2,2193,15,3.61,30,1.39,0
2007,Jason Marquis,Cubs,1.4,12,4.43,191,1854,9,4.98,22,3.53,0
2009,Paul Maholm,Pirates,3.2,8,4.44,194.2,1928,9,3.83,14,2.77,0
2007,Tom Glavine,Mets,1.5,13,4.45,200.1,1939,8,4.86,23,2.88,0
2011,Brett Myers,Astros,1.7,7,4.46,214,2148,14,4.24,30,2.4,0
2011,Livan Hernandez,Nationals,1.8,8,4.47,175.1,1673,13,3.96,16,2.36,0
2012,Ricky Nolasco,Marlins,2.2,12,4.48,191,1936,13,3.87,18,2.21,0
2012,Tommy Hanson,Braves,0.7,13,4.48,174.2,1811,10,4.57,27,3.66,0
2017,Julio Teheran,Braves,1.1,11,4.49,188.1,2007,13,4.95,31,3.44,0
2011,Chris Capuano,Mets,1.9,11,4.52,185,1909,12,4.03,27,2.53,0
2008,Brett Myers,Phillies,2.1,10,4.55,190,1940,13,4.52,29,3.08,0
2010,Dave Bush,Brewers,0.1,8,4.55,174,1870,13,5.14,28,3.36,0
2007,Barry Zito,Giants,1.6,11,4.55,195.2,2074,13,4.83,24,3.82,0
2016,Gio Gonzalez,Nationals,3,11,4.57,177.1,1908,11,3.76,19,2.99,0
2017,Tanner Roark,Nationals,2.5,13,4.57,175.1,1950,11,4.12,22,3.23,0
2012,Mike Leake,Reds,1.4,8,4.58,179,1737,9,4.42,26,2.06,0
2010,Chris Volstad,Marlins,1.1,12,4.58,175,1747,9,4.34,17,3.09,0
2007,Wandy Rodriguez,Astros,3.1,9,4.58,182.2,1897,13,4.18,22,3.05,0
2014,A.J. Burnett,Phillies,1.6,8,4.59,213.2,2114,18,4.14,20,4.04,0
2014,Kyle Kendrick,Phillies,0.9,10,4.61,199,1964,13,4.57,25,2.58,0
2007,Jeff Suppan,Brewers,2.6,12,4.62,206.2,2071,12,4.42,18,2.96,0
2016,Jimmy Nelson,Brewers,0.6,8,4.62,179.1,1866,16,5.12,25,4.32,0
2016,Adam Wainwright,Cardinals,2.9,13,4.62,198.2,2018,9,3.93,22,2.67,0
2007,Kyle Lohse,- - -,2.9,9,4.66,189.1,1917,12,4.58,22,2.66,0
2011,Jake Westbrook,Cardinals,0.9,12,4.66,183.1,1879,9,4.25,16,3.58,0
2009,Derek Lowe,Braves,2.5,15,4.67,194.2,2002,10,4.06,16,2.91,0
2011,Ricky Nolasco,Marlins,3,10,4.67,206,2121,12,3.54,20,1.92,0
2015,Rubby de la Rosa,Diamondbacks,0.5,14,4.67,188.2,1939,9,4.81,32,3.01,0
2012,Joe Blanton,- - -,2.4,10,4.68,190.1,1947,12,3.9,29,1.61,0
2016,Mike Leake,Cardinals,2.5,9,4.69,176.2,1762,12,3.83,20,1.53,0
2013,Kyle Kendrick,Phillies,2,10,4.7,182,1857,13,4.01,18,2.32,0
2011,Mike Pelfrey,Mets,0.9,7,4.7,193.1,2003,13,4.47,21,3.03,0
2010,Joe Blanton,Phillies,1.8,9,4.74,174.2,1807,6,4.25,26,2.16,0
2008,Bronson Arroyo,Reds,2.8,15,4.77,200,2146,11,4.5,29,3.06,0
2017,Clayton Richard,Padres,2.4,8,4.79,197.1,1992,15,4.23,24,2.69,0
2016,Chad Bettis,Rockies,2.5,14,4.79,186,1898,8,4.26,22,2.85,0
2011,Ryan Dempster,Cubs,2.5,10,4.8,202.1,2214,14,3.91,23,3.65,0
2008,Johnny Cueto,Reds,1.5,9,4.81,174,1912,14,4.9,29,3.52,0
2010,Jason Hammel,Rockies,3.2,10,4.81,177.2,1853,9,3.7,18,2.38,0
2010,Kyle Kendrick,Phillies,0.4,11,4.81,177.2,1734,10,4.92,26,2.43,0
2008,Zach Duke,Pirates,2,5,4.82,185,1844,14,4.4,19,2.29,0
2015,Aaron Harang,Phillies,0.9,6,4.86,172.1,1805,15,4.83,26,2.66,0
2008,Aaron Harang,Reds,1.5,6,4.89,180.1,1965,17,4.91,35,2.45,0
2007,Matt Morris,- - -,2.5,10,4.89,198.2,1943,11,4.45,18,2.76,0
2007,Braden Looper,Cardinals,1.3,12,4.9,174.2,1703,12,4.83,22,2.63,0
2016,Robbie Ray,Diamondbacks,3.1,8,4.9,174.1,2035,15,3.76,24,3.67,0
2013,Ian Kennedy,- - -,0.6,7,4.91,181.1,1961,10,4.59,27,3.62,0
2007,Livan Hernandez,Diamondbacks,0.2,11,4.93,204.1,2006,11,5.77,34,3.48,0
2008,Tim Redding,Nationals,1.2,10,4.95,182,1936,11,4.93,27,3.21,0
2008,Jeff Suppan,Brewers,0,10,4.96,177.2,1708,10,5.51,30,3.39,0
2013,Edwin Jackson,Cubs,2,8,4.98,175.1,1787,18,3.79,16,3.03,0
2010,Rodrigo Lopez,Diamondbacks,0.1,7,5,200,2046,16,5.21,37,2.52,0
2007,Jamie Moyer,Phillies,2,14,5.01,199.1,1940,12,4.93,30,2.98,0
2007,Paul Maholm,Pirates,1.8,10,5.02,177.2,1666,15,4.6,22,2.48,0
2014,Travis Wood,Cubs,1.1,8,5.03,173.2,1914,13,4.38,20,3.94,0
2009,Mike Pelfrey,Mets,1.7,10,5.03,184.1,1937,12,4.39,18,3.22,0
2011,Derek Lowe,Braves,2.1,9,5.05,187,1965,17,3.7,14,3.37,0
2009,Ricky Nolasco,Marlins,4.1,13,5.06,185,2006,9,3.35,23,2.14,0
2007,Woody Williams,Astros,0.7,8,5.06,186.2,1992,15,5.57,34,2.56,0
2011,Bronson Arroyo,Reds,-1.1,9,5.07,199,2030,12,5.71,46,2.04,0
2010,Paul Maholm,Pirates,1.5,9,5.1,185.1,1898,15,4.18,15,3.01,0
2008,Barry Zito,Giants,1.3,10,5.15,180,1928,17,4.72,16,5.1,0
2007,Dontrelle Willis,Marlins,0.9,10,5.17,205.1,2117,15,5.13,29,3.81,0
2012,Tim Lincecum,Giants,1,10,5.18,186,2019,15,4.18,23,4.35,0
2007,Dave Bush,Brewers,2.2,10,5.2,183.1,1931,10,4.57,27,2.06,0
2009,Braden Looper,Brewers,-0.5,14,5.22,194.2,2033,7,5.74,39,2.96,0
2007,Matt Belisle,Reds,2.4,8,5.32,177.2,1819,9,4.58,26,2.18,0
2009,Livan Hernandez,- - -,1.6,9,5.44,183.2,1779,12,4.44,19,3.28,0
2017,Matt Moore,Giants,0.9,6,5.59,172.1,1849,15,4.78,27,3.5,0
2007,Scott Olsen,Marlins,0.5,10,5.81,176.2,1903,15,5.33,29,4.33,0
